Comunidades y Ciudades Autónomas;Edad;Motivo;Total
Total Nacional;Total;Total;100
Total Nacional;Total;Fallo del método anticonceptivo utilizado;20,05
Total Nacional;Total;Por no utilizar métodos anticonceptivos;25,66
Total Nacional;Total;Mi pareja quería;12,48
Total Nacional;Total;Otros;41,81
Total Nacional;Menos de 40 años;Total;100
Total Nacional;Menos de 40 años;Fallo del método anticonceptivo utilizado;22,89
Total Nacional;Menos de 40 años;Por no utilizar métodos anticonceptivos;29,28
Total Nacional;Menos de 40 años;Mi pareja quería;12,57
Total Nacional;Menos de 40 años;Otros;35,26
Total Nacional;40 y más años;Total;100
Total Nacional;40 y más años;Fallo del método anticonceptivo utilizado;18,63
Total Nacional;40 y más años;Por no utilizar métodos anticonceptivos;23,86
Total Nacional;40 y más años;Mi pareja quería;12,44
Total Nacional;40 y más años;Otros;45,07
01 Andalucía;Total;Total;100
01 Andalucía;Total;Fallo del método anticonceptivo utilizado;20,34
01 Andalucía;Total;Por no utilizar métodos anticonceptivos;25,27
01 Andalucía;Total;Mi pareja quería;13,38
01 Andalucía;Total;Otros;41
01 Andalucía;Menos de 40 años;Total;100
01 Andalucía;Menos de 40 años;Fallo del método anticonceptivo utilizado;30,2
01 Andalucía;Menos de 40 años;Por no utilizar métodos anticonceptivos;26,39
01 Andalucía;Menos de 40 años;Mi pareja quería;12,31
01 Andalucía;Menos de 40 años;Otros;31,1
01 Andalucía;40 y más años;Total;100
01 Andalucía;40 y más años;Fallo del método anticonceptivo utilizado;15,34
01 Andalucía;40 y más años;Por no utilizar métodos anticonceptivos;24,71
01 Andalucía;40 y más años;Mi pareja quería;13,92
01 Andalucía;40 y más años;Otros;46,03
02 Aragón;Total;Total;100
02 Aragón;Total;Fallo del método anticonceptivo utilizado;18,94
02 Aragón;Total;Por no utilizar métodos anticonceptivos;30,51
02 Aragón;Total;Mi pareja quería;10,43
02 Aragón;Total;Otros;40,11
02 Aragón;Menos de 40 años;Total;100
02 Aragón;Menos de 40 años;Fallo del método anticonceptivo utilizado;23,01
02 Aragón;Menos de 40 años;Por no utilizar métodos anticonceptivos;25,55
02 Aragón;Menos de 40 años;Mi pareja quería;13,89
02 Aragón;Menos de 40 años;Otros;37,55
02 Aragón;40 y más años;Total;100
02 Aragón;40 y más años;Fallo del método anticonceptivo utilizado;16,23
02 Aragón;40 y más años;Por no utilizar métodos anticonceptivos;33,81
02 Aragón;40 y más años;Mi pareja quería;8,14
02 Aragón;40 y más años;Otros;41,82
03 Asturias, Principado de;Total;Total;100
03 Asturias, Principado de;Total;Fallo del método anticonceptivo utilizado;28,64
03 Asturias, Principado de;Total;Por no utilizar métodos anticonceptivos;21,94
03 Asturias, Principado de;Total;Mi pareja quería;9,2
03 Asturias, Principado de;Total;Otros;40,22
03 Asturias, Principado de;Menos de 40 años;Total;100
03 Asturias, Principado de;Menos de 40 años;Fallo del método anticonceptivo utilizado;39,23
03 Asturias, Principado de;Menos de 40 años;Por no utilizar métodos anticonceptivos;26,41
03 Asturias, Principado de;Menos de 40 años;Mi pareja quería;3,07
03 Asturias, Principado de;Menos de 40 años;Otros;31,29
03 Asturias, Principado de;40 y más años;Total;100
03 Asturias, Principado de;40 y más años;Fallo del método anticonceptivo utilizado;22,69
03 Asturias, Principado de;40 y más años;Por no utilizar métodos anticonceptivos;19,42
03 Asturias, Principado de;40 y más años;Mi pareja quería;12,65
03 Asturias, Principado de;40 y más años;Otros;45,24
04 Balears, Illes;Total;Total;100
04 Balears, Illes;Total;Fallo del método anticonceptivo utilizado;17,09
04 Balears, Illes;Total;Por no utilizar métodos anticonceptivos;28,92
04 Balears, Illes;Total;Mi pareja quería;9,17
04 Balears, Illes;Total;Otros;44,82
04 Balears, Illes;Menos de 40 años;Total;100
04 Balears, Illes;Menos de 40 años;Fallo del método anticonceptivo utilizado;18,41
04 Balears, Illes;Menos de 40 años;Por no utilizar métodos anticonceptivos;35,03
04 Balears, Illes;Menos de 40 años;Mi pareja quería;22,16
04 Balears, Illes;Menos de 40 años;Otros;24,4
04 Balears, Illes;40 y más años;Total;100
04 Balears, Illes;40 y más años;Fallo del método anticonceptivo utilizado;16,33
