CCAA de notificación,HSH,HSH %,Heterosexual,Heterosexual %,PID,PID %,Materno-infantil,Materno-infantil %,Hemoderivados/transfusión,Hemoderivados/transfusión %,Otros,Otros %,N.C.,N.C. %,Total,Total %
ANDALUCÍA,233,46.0,125,24.7,13,2.6,1,0.2,0,0.0,8,1.6,127,25.0,507,100
ARAGÓN,27,31.4,18,20.9,0,0.0,1,1.2,1,1.2,1,1.2,38,44.2,86,100
ASTURIAS,27,52.9,16,31.4,2,3.9,0,0.0,0,0.0,0,0.0,6,11.8,51,100
BALEARES,59,66.3,26,29.2,0,0.0,1,1.1,0,0.0,0,0.0,3,3.4,89,100
CANARIAS,139,58.9,90,38.1,2,0.8,0,0.0,0,0.0,0,0.0,5,2.1,236,100
CANTABRIA,11,35.5,10,32.3,1,3.2,0,0.0,0,0.0,0,0.0,9,29.0,31,100
CASTILLA LA MANCHA,16,32.7,14,28.6,3,6.1,0,0.0,0,0.0,1,2.0,15,30.6,49,100
CASTILLA Y LEÓN,52,59.8,27,31.0,1,1.1,0,0.0,0,0.0,0,0.0,7,8.0,87,100
CATALUÑA,256,53.2,165,34.3,11,2.3,0,0.0,0,0.0,6,1.2,43,8.9,481,100
COM. VALENCIANA,264,58.9,82,18.3,9,2.0,0,0.0,3,0.7,6,1.3,84,18.8,448,100
EXTREMADURA,0,54.1,2,5.4,0,0.0,0,0.0,0,0.0,0,0.0,15,40.5,37,100
GALICIA,63,53.8,34,29.1,2,1.7,0,0.0,0,0.0,0,0.0,18,15.4,117,100
MADRID,424,62.3,105,15.4,7,1.0,0,0.0,0,0.0,3,0.4,142,20.9,681,100
MURCIA,59,55.1,40,37.4,2,1.9,0,0.0,0,0.0,0,0.0,6,5.6,107,100
NAVARRA,15,45.5,16,48.5,0,0.0,1,3.0,0,0.0,0,0.0,1,3.0,33,100
PAÍS VASCO,26,76.7,46,34.3,2,1.5,0,0.0,0,0.0,1,0.7,9,6.7,134,100
LA RIOJA,10,66.7,5,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,100
CEUTA,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100
MELILLA,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,5,100
Total,1757,55.0,821,25.7,55,1.7,4,0.1,4,0.1,26,0.8,529,16.6,3196,100
